"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9YNMLGGD","journalArticle","2021","","The Handmaid's Tale by Margaret Atwood","ProQuest Literary Work Pages","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/handmaids-tale-margaret-atwood/docview/2585392816/se-2?accountid=14572","","2021","2021-11-10 21:52:56","2021-11-10 21:52:56","","","","","","","","","","","","","","","English","","","Literature Online","2585392816","","","Place: Ann Arbor Publisher: ProQuest","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Aliontopics&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.jtitle=&rft.atitle=&rft.au=&rft.aulast=&rft.aufirst=&rft.date=2021-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=The+Handmaid%27s+Tale+by+Margaret+Atwood&rft.title=The+Handmaid%27s+Tale+by+Margaret+Atwood&rft.issn=&rft_id=info:doi/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"599MBEA7","journalArticle","2020","","Bacigalupi, Paolo","ProQuest Biographies","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/bacigalupi-paolo/docview/2540713716/se-2?accountid=14572","","2020","2021-11-10 21:52:56","2021-11-10 21:52:56","","","","","","","","","","","","","","","English","","","Literature Online","2540713716","","","Place: Ann Arbor Publisher: ProQuest","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Alionbiblios&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.jtitle=&rft.atitle=&rft.au=&rft.aulast=&rft.aufirst=&rft.date=2020-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Bacigalupi%2C+Paolo&rft.title=Bacigalupi%2C+Paolo&rft.issn=&rft_id=info:doi/","Literature; Bacigalupi, Paolo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68953QUN","journalArticle","2020","","Yoss, 1969-","ProQuest Biographies","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/yoss-1969/docview/2353539819/se-2?accountid=14572","","2020","2021-11-10 21:52:56","2021-11-10 21:52:56","","","","","","","","","","","","","","","English","","","Literature Online","2353539819","","","Place: Ann Arbor Publisher: ProQuest","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Alionbiblios&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.jtitle=&rft.atitle=&rft.au=&rft.aulast=&rft.aufirst=&rft.date=2020-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Yoss%2C+1969-&rft.title=Yoss%2C+1969-&rft.issn=&rft_id=info:doi/","Literature; Yoss, 1969-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFU3BSXN","journalArticle","2020","","Padura, Leonardo","ProQuest Biographies","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/padura-leonardo/docview/2353538113/se-2?accountid=14572","","2020","2021-11-10 21:52:56","2021-11-10 21:52:56","","","","","","","","","","","","","","","English","","","Literature Online","2353538113","","","Place: Ann Arbor Publisher: ProQuest","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Alionbiblios&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.jtitle=&rft.atitle=&rft.au=&rft.aulast=&rft.aufirst=&rft.date=2020-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Padura%2C+Leonardo&rft.title=Padura%2C+Leonardo&rft.issn=&rft_id=info:doi/","Literature; Padura, Leonardo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BYV62FP","journalArticle","2019","New, W H; Follett, Alec","Literature in English","Canadian Encyclopedia","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/literature-english/docview/2316449501/se-2?accountid=14572","","2019","2021-11-10 21:52:56","2021-11-10 21:52:56","","","","","","","","","","","","","","","English","","","","2316449501","","","Edition: English ed. Place: Toronto Publisher: Historica Canada","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3A&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=book&rft.jtitle=&rft.atitle=&rft.au=New%2C+W+H%3BFollett%2C+Alec&rft.aulast=New&rft.aufirst=W&rft.date=2019-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Literature+in+English&rft.title=Literature+in+English&rft.issn=&rft_id=info:doi/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M468CTNK","journalArticle","2019","New, W H","Literary History in English 1980-2000","Canadian Encyclopedia","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/literary-history-english-1980-2000/docview/2316448795/se-2?accountid=14572","","2019","2021-11-10 21:52:56","2021-11-10 21:52:56","","","","","","","","","","","","","","","English","","","","2316448795","","","Edition: English ed. Place: Toronto Publisher: Historica Canada","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3A&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=book&rft.jtitle=&rft.atitle=&rft.au=New%2C+W+H&rft.aulast=New&rft.aufirst=W&rft.date=2019-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Literary+History+in+English+1980-2000&rft.title=Literary+History+in+English+1980-2000&rft.issn=&rft_id=info:doi/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z5Y7MJKB","journalArticle","2019","Boyd, Colin; Lewis, Jules","The Handmaid's Tale","Canadian Encyclopedia","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/handmaids-tale/docview/2316298406/se-2?accountid=14572","","2019","2021-11-10 21:52:57","2021-11-10 21:52:57","","","","","","","","","","","","","","","English","","","","2316298406","","","Edition: English ed. Place: Toronto Publisher: Historica Canada","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3A&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=book&rft.jtitle=&rft.atitle=&rft.au=Boyd%2C+Colin%3BLewis%2C+Jules&rft.aulast=Boyd&rft.aufirst=Colin&rft.date=2019-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=The+Handmaid%27s+Tale&rft.title=The+Handmaid%27s+Tale&rft.issn=&rft_id=info:doi/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7NEQQFU","journalArticle","2018","","Lux, Thomas, 1946-2017","ProQuest Author Pages","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/lux-thomas-1946-2017/docview/2137973854/se-2?accountid=14572","","2018","2021-11-10 21:52:57","2021-11-10 21:52:57","","","","","","","","","","","","","","","English","","","Literature Online","2137973854","","","Place: Ann Arbor Publisher: ProQuest","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Aliontopics&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.jtitle=&rft.atitle=&rft.au=&rft.aulast=&rft.aufirst=&rft.date=2018-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Lux%2C+Thomas%2C+1946-2017&rft.title=Lux%2C+Thomas%2C+1946-2017&rft.issn=&rft_id=info:doi/","Literature; American Confessional Period, 1960-; Lux, Thomas, 1946-2017; Postwar Period, 1945-1999; Twentieth Century, 1900-1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FD8HY74H","journalArticle","2018","","Lerner, Edward M., 1949-","ProQuest Author Pages","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/lerner-edward-m-1949/docview/2137962273/se-2?accountid=14572","","2018","2021-11-10 21:52:57","2021-11-10 21:52:57","","","","","","","","","","","","","","","English","","","Literature Online","2137962273","","","Place: Ann Arbor Publisher: ProQuest","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Aliontopics&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.jtitle=&rft.atitle=&rft.au=&rft.aulast=&rft.aufirst=&rft.date=2018-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Lerner%2C+Edward+M.%2C+1949-&rft.title=Lerner%2C+Edward+M.%2C+1949-&rft.issn=&rft_id=info:doi/","Literature; American Confessional Period, 1960-; Postwar Period, 1945-1999; Twentieth Century, 1900-1999; Lerner, Edward M.; Twenty-First Century, 2000-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSVDWG26","journalArticle","2018","","Capek, Karel, 1890-1938","ProQuest Author Pages","","","","http://silk.library.umass.edu/login?url=https://www.proquest.com/encyclopedias-reference-works/capek-karel-1890-1938/docview/2137957941/se-2?accountid=14572","","2018","2021-11-10 21:52:57","2021-11-10 21:52:57","","","","","","","","","","","","","","","English","","","Literature Online","2137957941","","","Place: Ann Arbor Publisher: ProQuest","","","https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQ%3Aliontopics&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=unknown&rft.jtitle=&rft.atitle=&rft.au=&rft.aulast=&rft.aufirst=&rft.date=2018-01-01&rft.volume=&rft.issue=&rft.spage=&rft.isbn=&rft.btitle=Capek%2C+Karel%2C+1890-1938&rft.title=Capek%2C+Karel%2C+1890-1938&rft.issn=&rft_id=info:doi/","Literature; Twentieth Century, 1900-1999; Capek, Karel, 1890-1938; Inter-War Period, 1918-1939; Modernist Period, 1899-1945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
